Frame_Number, Time(s), Center_X, Center_Y
261, 9.00, 327, 357
262, 9.03, 327, 344
263, 9.07, 323, 336
264, 9.10, 322, 328
265, 9.14, 320, 322
266, 9.17, 318, 315
267, 9.21, 317, 310
268, 9.24, 314, 305
269, 9.28, 313, 302
270, 9.31, 311, 297
271, 9.34, 307, 296
272, 9.38, 305, 293
273, 9.41, 303, 291
274, 9.45, 300, 289
275, 9.48, 297, 288
276, 9.52, 296, 285
277, 9.55, 295, 285
278, 9.59, 292, 287
279, 9.62, 291, 288
280, 9.66, 287, 288
281, 9.69, 286, 288
282, 9.72, 283, 290
283, 9.76, 281, 290
284, 9.79, 281, 289
285, 9.83, 280, 290
286, 9.86, 279, 292
287, 9.90, 278, 293
288, 9.93, 274, 295
289, 9.97, 272, 297
290, 10.00, 270, 298
291, 10.03, 269, 300
292, 10.07, 269, 300
293, 10.10, 268, 301
301, 10.38, 259, 320
302, 10.41, 260, 321
303, 10.45, 258, 323
304, 10.48, 256, 327
305, 10.52, 255, 328
306, 10.55, 254, 331
307, 10.59, 254, 332
308, 10.62, 252, 338
309, 10.66, 252, 340
310, 10.69, 251, 343
321, 11.07, 238, 389
